mscn_sol,GSFC
mscn,1919
location,80
basin,1007
mscn_area,12373.54
lat_center,36
lon_center,-113.19587630000001
lat_span,1
lon_span,1.2371134
Solution,GSFC RL06v02 Mascons
Citation,"Loomis, B.D., Luthcke, S.B. & Sabaka, T.J. (2019) Regularization and error characterization of GRACE mascons. J Geod 93, 1381–1398. https://doi.org/10.1007/s00190-019-01252-y"
Data Portal,https://ccar.colorado.edu/grace/

year,cmwe
2002.296,-1.146
2002.359,-1.471
2002.627,-4.56
2002.709,-8.121
2002.794,-6.449
2002.876,-5.46
2002.961,-3.687
2003.046,-4.266
2003.125,-0.558
2003.207,1.15
2003.29,-0.332
2003.361,-2.219
2003.541,-6.277
2003.626,-7.561
2003.708,-5.735
2003.793,-8.179
2003.875,-6.271
2003.96,-5.204
2004.021,-3.298
2004.13,-4.274
2004.209,-4.01
2004.292,-1.612
2004.376,-4.51
2004.459,-7.108
2004.543,-5.762
2004.628,-8.923
2004.71,-8.96
2004.795,-6.692
2004.877,-2.203
2004.962,-0.585
2005.047,5.991
2005.127,8.983
2005.209,12.055
2005.291,12.069
2005.376,11.431
2005.458,6.364
2005.543,3.277
2005.628,5.584
2005.71,1.784
2005.795,2.985
2005.877,1.879
2005.962,0.458
2006.047,2.677
2006.126,0.685
2006.208,1.508
2006.29,4.014
2006.375,1.766
2006.457,0.793
2006.542,-0.744
2006.627,1.656
2006.709,-0.814
2006.794,0.033
2006.876,-0.009
2006.961,1.483
2007.046,2.089
2007.125,1.228
2007.207,1.74
2007.29,0.778
2007.374,0.704
2007.457,-0.042
2007.541,-2.451
2007.626,-1.771
2007.708,-3.506
2007.793,-3.49
2007.875,-3.872
2007.96,-1.014
2008.045,0.505
2008.127,3.453
2008.209,3.573
2008.292,2.038
2008.376,0.501
2008.459,-1.283
2008.543,-1.237
2008.628,-1.439
2008.71,-1.449
2008.795,-2.448
2008.877,-2.101
2008.962,-1.042
2009.047,2.215
2009.127,2.033
2009.209,1.801
2009.291,-0.001
2009.376,0.57
2009.458,0.142
2009.543,-2.281
2009.628,-4.804
2009.71,-5.074
2009.795,-5.045
2009.877,-5.36
2009.962,-1.63
2010.047,0.414
2010.126,4.111
2010.208,6.825
2010.29,6.674
2010.375,4.741
2010.457,2.899
2010.542,1.141
2010.627,0.368
2010.709,-1.602
2010.794,0.058
2010.876,0.723
2010.956,3.398
2011.136,4.343
2011.207,6.338
2011.29,6.482
2011.374,5.241
2011.547,2.995
2011.626,2.291
2011.708,0.104
2011.782,0.146
2011.845,0.88
2011.982,3.14
2012.051,4.06
2012.127,1.35
2012.201,1.089
2012.267,1.851
2012.459,-0.893
2012.543,-3.146
2012.628,-2.272
2012.705,-3.602
2012.886,-3.854
2012.962,-1.266
2013.047,-0.947
2013.124,0.244
2013.305,-1.623
2013.376,-2.915
2013.458,-4.807
2013.543,-5.152
2013.795,-3.596
2013.877,-5.308
2013.962,-2.183
2014.025,-3.065
2014.211,-2.364
2014.29,-3.179
2014.375,-4.703
2014.449,-4.511
2014.627,-7.719
2014.709,-6.407
2014.794,-7.508
2014.876,-6.764
2015.062,-5.243
2015.125,-5.539
2015.207,-3.886
2015.279,-2.678
2015.333,-5.056
2015.539,-6.727
2015.626,-6.064
2015.706,-7.994
2015.977,-3.844
2016.045,-1.484
2016.122,-0.887
2016.209,-1.362
2016.385,-4.798
2016.459,-5.235
2016.541,-6.275
2016.642,-5.905
2016.91,-6.797
2016.984,-1.997
2017.058,1.425
2017.247,0.557
2017.316,2.257
2017.37,-0.649
2017.444,-1.471
2018.457,-7.794
2018.523,-9.568
2018.835,-7.257
2018.89,-8.377
2018.961,-7.158
2019.038,-2.992
2019.117,-2.269
2019.207,2.647
2019.29,0.267
2019.374,0.206
2019.457,-1.5
2019.541,-2.887
2019.626,-5.149
2019.708,-4.726
2019.793,-7.8
2019.875,-7.539
2019.96,-2.516
2020.045,-0.215
2020.127,-1.456
2020.209,-1.56
2020.292,-1.814
2020.376,-3.404
2020.459,-4.376
2020.543,-6.311
2020.628,-8.11
2020.71,-10.283
2020.795,-11.733
2020.877,-10.747
2020.962,-10.951
2021.047,-11.291
2021.127,-9.447
2021.209,-9.35
2021.291,-10.702
2021.376,-9.211
2021.458,-10.394
2021.543,-10.846
2021.628,-10.206
2021.71,-11.226
2021.795,-11.098
2021.877,-10.907
2021.962,-10.23
2022.047,-8.426
2022.126,-6.975
2022.208,-11.26
2022.29,-8.649
2022.375,-9.077
2022.457,-11.697
2022.542,-12.351
2022.627,-10.494
2022.709,-11.196
2022.794,-13.18
2022.876,-11.124
2022.961,-10.054
2023.046,-3.462
2023.125,0.446
2023.207,1.755
2023.29,4.111
2023.374,0.558
2023.457,-2.463
2023.541,-5.551
2023.626,-4.655
2023.708,-5.542
