mscn_sol,GSFC
mscn,1912
location,80
basin,1007
mscn_area,12383.61
lat_center,37
lon_center,-113.5191638
lat_span,1
lon_span,1.2543554
Solution,GSFC RL06v02 Mascons
Citation,"Loomis, B.D., Luthcke, S.B. & Sabaka, T.J. (2019) Regularization and error characterization of GRACE mascons. J Geod 93, 1381–1398. https://doi.org/10.1007/s00190-019-01252-y"
Data Portal,https://ccar.colorado.edu/grace/

year,cmwe
2002.296,-0.268
2002.359,-1.554
2002.627,-4.745
2002.709,-8.075
2002.794,-6.643
2002.876,-5.5
2002.961,-4.073
2003.046,-3.986
2003.125,-0.652
2003.207,0.064
2003.29,-1.585
2003.361,-2.934
2003.541,-6.427
2003.626,-7.453
2003.708,-6.428
2003.793,-8.824
2003.875,-6.856
2003.96,-5.206
2004.021,-2.322
2004.13,-3.762
2004.209,-3.903
2004.292,-2.026
2004.376,-4.732
2004.459,-7.078
2004.543,-5.782
2004.628,-10.08
2004.71,-9.599
2004.795,-6.696
2004.877,-2.023
2004.962,-0.866
2005.047,5.395
2005.127,7.765
2005.209,10.204
2005.291,11.077
2005.376,12.456
2005.458,7.569
2005.543,3.166
2005.628,4.754
2005.71,1.106
2005.795,3.405
2005.877,0.97
2005.962,0.754
2006.047,3.117
2006.126,1.151
2006.208,1.962
2006.29,5.152
2006.375,2.747
2006.457,1.74
2006.542,0.012
2006.627,1.645
2006.709,-1.215
2006.794,0.348
2006.876,0.528
2006.961,1.574
2007.046,2.052
2007.125,1.086
2007.207,1.745
2007.29,0.902
2007.374,0.741
2007.457,0.556
2007.541,-2.25
2007.626,-1.664
2007.708,-3.57
2007.793,-3.361
2007.875,-3.793
2007.96,-1.466
2008.045,0.421
2008.127,3.121
2008.209,3.41
2008.292,2.067
2008.376,0.868
2008.459,-1.021
2008.543,-1.427
2008.628,-1.842
2008.71,-1.722
2008.795,-2.554
2008.877,-2.256
2008.962,-1.69
2009.047,1.228
2009.127,1.472
2009.209,1.634
2009.291,0.021
2009.376,0.488
2009.458,0.777
2009.543,-1.836
2009.628,-4.443
2009.71,-4.904
2009.795,-3.996
2009.877,-5.113
2009.962,-2.193
2010.047,0.059
2010.126,3.021
2010.208,5.281
2010.29,5.81
2010.375,4.887
2010.457,2.943
2010.542,1.285
2010.627,-0.242
2010.709,-2.129
2010.794,-0.748
2010.876,0.827
2010.956,3.746
2011.136,4.608
2011.207,6.926
2011.29,7.789
2011.374,6.762
2011.547,3.955
2011.626,3.551
2011.708,1.126
2011.782,2.326
2011.845,3.543
2011.982,3.048
2012.051,3.166
2012.127,1.17
2012.201,1.118
2012.267,2.026
2012.459,-0.334
2012.543,-2.819
2012.628,-2.249
2012.705,-3.517
2012.886,-4.123
2012.962,-1.362
2013.047,-0.268
2013.124,-0.146
2013.305,-1.763
2013.376,-2.99
2013.458,-4.491
2013.543,-5.211
2013.795,-3.812
2013.877,-5.319
2013.962,-2.726
2014.025,-3.427
2014.211,-2.683
2014.29,-4.229
2014.375,-4.789
2014.449,-4.082
2014.627,-7.518
2014.709,-6.48
2014.794,-7.604
2014.876,-7.092
2015.062,-6.045
2015.125,-6.916
2015.207,-6.016
2015.279,-4.427
2015.333,-5.875
2015.539,-6.952
2015.626,-6.419
2015.706,-8.075
2015.977,-4.107
2016.045,-2.675
2016.122,-1.177
2016.209,-0.741
2016.385,-4.223
2016.459,-4.506
2016.541,-6.19
2016.642,-6.054
2016.91,-6.546
2016.984,-1.876
2017.058,1.587
2017.247,1.508
2017.316,2.675
2017.37,0.274
2017.444,-0.909
2018.457,-6.648
2018.523,-9.016
2018.835,-7.408
2018.89,-8.496
2018.961,-7.175
2019.038,-3.324
2019.117,-3.155
2019.207,2.499
2019.29,0.233
2019.374,0.297
2019.457,-1.225
2019.541,-2.467
2019.626,-4.621
2019.708,-4.118
2019.793,-7.787
2019.875,-7.943
2019.96,-3.37
2020.045,-0.574
2020.127,-1.736
2020.209,-1.801
2020.292,-2.137
2020.376,-3.937
2020.459,-4.124
2020.543,-5.968
2020.628,-9.167
2020.71,-10.964
2020.795,-12.676
2020.877,-11.48
2020.962,-11.508
2021.047,-11.921
2021.127,-10.245
2021.209,-9.749
2021.291,-11.376
2021.376,-9.733
2021.458,-10.943
2021.543,-11.721
2021.628,-11.753
2021.71,-11.877
2021.795,-12.469
2021.877,-10.563
2021.962,-10.101
2022.047,-9.478
2022.126,-7.677
2022.208,-12.12
2022.29,-8.909
2022.375,-8.865
2022.457,-11.681
2022.542,-12.709
2022.627,-10.72
2022.709,-11.499
2022.794,-13.897
2022.876,-11.423
2022.961,-11.145
2023.046,-3.56
2023.125,0.621
2023.207,2.917
2023.29,5.711
2023.374,1.642
2023.457,-1.398
2023.541,-5.218
2023.626,-2.731
2023.708,-3.749
